sample,k,estrategia,delta,tiempo,particion,alcance,mecanismo
N10A.csv,2,KQNodes,0.48046875,0.6460092067718506,"⎛  B,C,D,E,F,G,H,I,J  ⎞⎛ A ⎞
⎝ a,b,c,d,e,f,g,h,i,j ⎠⎝ ∅ ⎠
",ABCDEFGHIJ,ABCDEFGHIJ
N10A.csv,2,KGeoMIP,0.4697265625,0.10687518119812012,"⎛  A,B,C,E,F,G,H,I,J  ⎞⎛ D ⎞
⎝ a,b,c,d,e,f,g,h,i,j ⎠⎝ ∅ ⎠
",ABCDEFGHIJ,ABCDEFGHIJ
N10A.csv,3,KQNodes,0.9921875,0.6531152725219727,"⎛   B,C,D,E,F,G,I,J   ⎞⎛ A ⎞⎛ H ⎞
⎝ a,b,c,d,e,f,g,h,i,j ⎠⎝ ∅ ⎠⎝ ∅ ⎠
",ABCDEFGHIJ,ABCDEFGHIJ
N10A.csv,3,KGeoMIP,4.34375,0.07515192031860352,"⎛ A ⎞⎛ B,I,J ⎞⎛ C,D,E,F,G,H ⎞
⎝ a ⎠⎝ b,i,j ⎠⎝ c,d,e,f,g,h ⎠
",ABCDEFGHIJ,ABCDEFGHIJ
N10A.csv,4,KQNodes,1.5078125,0.5705809593200684,"⎛    B,C,D,F,G,I,J    ⎞⎛ A ⎞⎛ E ⎞⎛ H ⎞
⎝ a,b,c,d,e,f,g,h,i,j ⎠⎝ ∅ ⎠⎝ ∅ ⎠⎝ ∅ ⎠
",ABCDEFGHIJ,ABCDEFGHIJ
N10A.csv,4,KGeoMIP,4.38671875,0.07070302963256836,"⎛ A ⎞⎛ B,J ⎞⎛ I ⎞⎛ C,D,E,F,G,H ⎞
⎝ a ⎠⎝ b,j ⎠⎝ i ⎠⎝ c,d,e,f,g,h ⎠
",ABCDEFGHIJ,ABCDEFGHIJ
N10A.csv,5,KQNodes,2.5078125,0.8072760105133057,"⎛   B,C,D,F,G,I,J   ⎞⎛ ∅ ⎞⎛ A ⎞⎛ E ⎞⎛ H ⎞
⎝ a,b,c,d,e,g,h,i,j ⎠⎝ f ⎠⎝ ∅ ⎠⎝ ∅ ⎠⎝ ∅ ⎠
",ABCDEFGHIJ,ABCDEFGHIJ
N10A.csv,5,KGeoMIP,4.4140625,0.03191232681274414,"⎛ A ⎞⎛ B ⎞⎛ J ⎞⎛ I ⎞⎛ C,D,E,F,G,H ⎞
⎝ a ⎠⎝ b ⎠⎝ j ⎠⎝ i ⎠⎝ c,d,e,f,g,h ⎠
",ABCDEFGHIJ,ABCDEFGHIJ
N10A.csv,2,KQNodes,0.0068359375,0.4050302505493164,"⎛ A,B,C,D,E,G,H,I,J ⎞⎛ F ⎞
⎝ a,b,c,d,e,f,g,h,i ⎠⎝ ∅ ⎠
",ABCDEFGHIJ,ABCDEFGHI
N10A.csv,2,KGeoMIP,0.0068359375,0.03335261344909668,"⎛ A,B,C,D,E,G,H,I,J ⎞⎛ F ⎞
⎝ a,b,c,d,e,f,g,h,i ⎠⎝ ∅ ⎠
",ABCDEFGHIJ,ABCDEFGHI
N10A.csv,3,KQNodes,0.0185546875,0.3860025405883789,"⎛  A,C,D,E,G,H,I,J  ⎞⎛ B ⎞⎛ F ⎞
⎝ a,b,c,d,e,f,g,h,i ⎠⎝ ∅ ⎠⎝ ∅ ⎠
",ABCDEFGHIJ,ABCDEFGHI
N10A.csv,3,KGeoMIP,1.998046875,0.03127264976501465,"⎛ E ⎞⎛ F,J ⎞⎛ A,B,C,D,G,H,I ⎞
⎝ e ⎠⎝  f  ⎠⎝ a,b,c,d,g,h,i ⎠
",ABCDEFGHIJ,ABCDEFGHI
N10A.csv,4,KQNodes,0.0341796875,0.3802938461303711,"⎛   A,C,D,G,H,I,J   ⎞⎛ B ⎞⎛ E ⎞⎛ F ⎞
⎝ a,b,c,d,e,f,g,h,i ⎠⎝ ∅ ⎠⎝ ∅ ⎠⎝ ∅ ⎠
",ABCDEFGHIJ,ABCDEFGHI
